201612310060000800000000000000173720000000000000001737209900000000000000000000Consumidor Final              000000000073000000000000073000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000800000000000000173721000000000000001737219900000000000000000000Consumidor Final              000000000055000000000000055000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000800000000000000173722000000000000001737229900000000000000000000Consumidor Final              000000000055000000000000055000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724604000000000000007246049900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724605000000000000007246059900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724606000000000000007246069900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505233000000000000005052339900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724607000000000000007246079900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724608000000000000007246089900000000000000000000Consumidor Final              000000000039100000000000039100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724609000000000000007246099900000000000000000000Consumidor Final              000000000069000000000000069000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724521000000000000007245219900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724585000000000000007245859900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724586000000000000007245869900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505219000000000000005052199900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724587000000000000007245879900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505220000000000000005052209900000000000000000000Consumidor Final              000000000069000000000000069000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505221000000000000005052219900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505222000000000000005052229900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724588000000000000007245889900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724589000000000000007245899900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724590000000000000007245909900000000000000000000Consumidor Final              000000000063000000000000063000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724522000000000000007245229900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505170000000000000005051709900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505171000000000000005051719900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505172000000000000005051729900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505173000000000000005051739900000000000000000000Consumidor Final              000000000021000000000000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505174000000000000005051749900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505175000000000000005051759900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505176000000000000005051769900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724540000000000000007245409900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
