Fecha Presentacion;Lote;Fecha Pago;Descripcion;Fecha Origen;Comprobante;Tarjeta;Plan;Cuota;Moneda;Importe
07-nov-17;0;04 Dec 2017;CONS. $  ;04-nov-17;40;XXXX XXXX XXXX8961;0;0;pesos;385
07-nov-17;0;04 Dec 2017;CONS. $  ;04-nov-17;41;XXXX XXXX XXXX4813;0;0;pesos;737
07-nov-17;32;04 Dec 2017;CONS. $  ;04-nov-17;42;XXXX XXXX XXXX8559;0;0;pesos;737
07-nov-17;0;04 Dec 2017;CONS. $  ;06-nov-17;43;XXXX XXXX XXXX6900;0;0;pesos;737
07-nov-17;34;04 Dec 2017;CONS. $  ;06-nov-17;44;XXXX XXXX XXXX3245;0;0;pesos;1287
07-nov-17;0;04 Dec 2017;CONS. $  ;07-nov-17;45;XXXX XXXX XXXX7213;0;0;pesos;737
09-nov-17;0;06 Dec 2017;CONS. $  ;09-nov-17;46;XXXX XXXX XXXX2123;0;0;pesos;385
09-nov-17;37;06 Dec 2017;CONS. $  ;09-nov-17;47;XXXX XXXX XXXX3245;0;0;pesos;495
07-nov-17;157;04 Dec 2017;CONS. $  ;03-nov-17;618;XXXX XXXX XXXX7742;0;0;pesos;825
07-nov-17;157;09-nov-17;CONS. $  ;03-nov-17;619;XXXX XXXX XXXX6283;0;0;pesos;720
07-nov-17;157;04 Dec 2017;CONS. $  ;03-nov-17;620;XXXX XXXX XXXX8679;0;0;pesos;792
07-nov-17;157;04 Dec 2017;CONS. $  ;03-nov-17;621;XXXX XXXX XXXX7185;0;0;pesos;792
07-nov-17;157;04 Dec 2017;CONS. $  ;03-nov-17;622;XXXX XXXX XXXX6148;0;0;pesos;363
07-nov-17;157;04 Dec 2017;CONS. $  ;03-nov-17;623;XXXX XXXX XXXX3006;0;0;pesos;715
07-nov-17;157;09-nov-17;CONS. $  ;03-nov-17;624;XXXX XXXX XXXX3067;0;0;pesos;720
07-nov-17;157;09-nov-17;CONS. $  ;03-nov-17;625;XXXX XXXX XXXX1001;0;0;pesos;430
07-nov-17;0;04 Dec 2017;CONS. $  ;03-nov-17;626;XXXX XXXX XXXX8961;0;0;pesos;385
07-nov-17;158;09-nov-17;CONS. $  ;03-nov-17;627;XXXX XXXX XXXX7117;0;0;pesos;690
07-nov-17;158;09-nov-17;CONS. $  ;03-nov-17;628;XXXX XXXX XXXX4545;0;0;pesos;620
07-nov-17;158;09-nov-17;CONS. $  ;03-nov-17;629;XXXX XXXX XXXX4102;0;0;pesos;1290
07-nov-17;158;09-nov-17;CONS. $  ;03-nov-17;630;XXXX XXXX XXXX4783;0;0;pesos;620
07-nov-17;0;09-nov-17;CONS. $  ;03-nov-17;631;XXXX XXXX XXXX6241;0;0;pesos;737
07-nov-17;159;04 Dec 2017;CONS. $  ;04-nov-17;632;XXXX XXXX XXXX7097;0;0;pesos;792
07-nov-17;159;04 Dec 2017;CONS. $  ;04-nov-17;633;XXXX XXXX XXXX7026;0;0;pesos;825
07-nov-17;159;09-nov-17;CONS. $  ;04-nov-17;634;XXXX XXXX XXXX8173;0;0;pesos;720
07-nov-17;0;04 Dec 2017;CONS. $  ;04-nov-17;635;XXXX XXXX XXXX7907;0;0;pesos;825
07-nov-17;159;04 Dec 2017;CONS. $  ;04-nov-17;636;XXXX XXXX XXXX5496;0;0;pesos;792
07-nov-17;159;09-nov-17;CONS. $  ;04-nov-17;637;XXXX XXXX XXXX7033;0;0;pesos;720
07-nov-17;159;09-nov-17;CONS. $  ;04-nov-17;638;XXXX XXXX XXXX9034;0;0;pesos;750
07-nov-17;0;04 Dec 2017;CONS. $  ;04-nov-17;639;XXXX XXXX XXXX0021;0;0;pesos;946
07-nov-17;160;09-nov-17;CONS. $  ;05-nov-17;640;XXXX XXXX XXXX8048;0;0;pesos;720
07-nov-17;160;09-nov-17;CONS. $  ;05-nov-17;641;XXXX XXXX XXXX8048;0;0;pesos;720
07-nov-17;0;04 Dec 2017;CONS. $  ;05-nov-17;642;XXXX XXXX XXXX7833;0;0;pesos;792
07-nov-17;162;09-nov-17;CONS. $  ;05-nov-17;643;XXXX XXXX XXXX4001;0;0;pesos;650
07-nov-17;162;04 Dec 2017;CONS. $  ;05-nov-17;644;XXXX XXXX XXXX3312;0;0;pesos;792
07-nov-17;162;04 Dec 2017;CONS. $  ;05-nov-17;645;XXXX XXXX XXXX5363;0;0;pesos;792
07-nov-17;0;04 Dec 2017;CONS. $  ;05-nov-17;646;XXXX XXXX XXXX9101;0;0;pesos;792
07-nov-17;162;09-nov-17;CONS. $  ;05-nov-17;647;XXXX XXXX XXXX6285;0;0;pesos;730
07-nov-17;163;04 Dec 2017;CONS. $  ;05-nov-17;648;XXXX XXXX XXXX1307;0;0;pesos;869
07-nov-17;0;04 Dec 2017;CONS. $  ;05-nov-17;649;XXXX XXXX XXXX5016;0;0;pesos;792
