201509010060000600000000000000636939000000000000006369399900000000000000000000Consumidor Final              000000000023000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000700000000000000425062000000000000004250629900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000700000000000000425063000000000000004250639900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636941000000000000006369419900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636942000000000000006369429900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000700000000000000425068000000000000004250689900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000700000000000000425069000000000000004250699900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000700000000000000425070000000000000004250709900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000700000000000000425071000000000000004250719900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010010000600000000000000006218000000000000000062188000000000030641405554AEROLINEAS ARGENTINAS S.A.    000000000054000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010010000600000000000000006219000000000000000062198000000000030641405554AEROLINEAS ARGENTINAS S.A.    000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636945000000000000006369459900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010010000600000000000000006220000000000000000062208000000000030641405554AEROLINEAS ARGENTINAS S.A.    000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000700000000000000425079000000000000004250799900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509030060000700000000000000425283000000000000004252839900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000700000000000000425284000000000000004252849900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000700000000000000425286000000000000004252869900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000600000000000000637293000000000000006372939900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000700000000000000425287000000000000004252879900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000600000000000000637294000000000000006372949900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000700000000000000425290000000000000004252909900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000600000000000000637301000000000000006373019900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000700000000000000425292000000000000004252929900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000600000000000000637302000000000000006373029900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000600000000000000637303000000000000006373039900000000000000000000Consumidor Final              000000000054000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000700000000000000425293000000000000004252939900000000000000000000Consumidor Final              000000000044000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509030060000600000000000000637304000000000000006373049900000000000000000000Consumidor Final              000000000054000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150913
201509040060000700000000000000425630000000000000004256309900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150914
201509040060000700000000000000425631000000000000004256319900000000000000000000Consumidor Final              000000000044000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150914
201509040060000700000000000000425632000000000000004256329900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150914
201509040010000700000000000000003050000000000000000030508000000000030632465137ALUSTIN SA                    000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150914
201509040060000700000000000000425633000000000000004256339900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150914
